account,classification,trades,win_rate,total_pnl,avg_leverage,dollar_volume,mean_risk_intensity
0x083384f897ee0f19899168e3b1bec365f52a9012,Fear,3356,0.40554231227651966,1361,0.40554231227651966,54854631.95,16345.241939809297
0x083384f897ee0f19899168e3b1bec365f52a9012,Greed,462,0.025974025974025976,12,0.025974025974025976,6842632.02,14810.891818181817
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Fear,3533,0.43504104160769885,1537,0.43504104160769885,5982611.5,1693.3516841211435
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Greed,320,0.53125,170,0.53125,797679.97,2492.74990625
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,,3427,0.44236941931718704,1516,0.44236941931718704,5255196.19,1533.4683950977533
0x271b280974205ca63b716753467d5a371de622ab,Fear,1136,0.43045774647887325,489,0.43045774647887325,12310719.5,10836.90096830986
0x271b280974205ca63b716753467d5a371de622ab,Greed,5,0.8,4,0.8,159708.30000000002,31941.660000000003
0x271b280974205ca63b716753467d5a371de622ab,,2668,0.24625187406296853,657,0.24625187406296853,21403012.62,8022.118673163419
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Fear,6794,0.4327347659699735,2940,0.4327347659699735,3622817.7,533.2378127759788
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,6472,0.4437577255871446,2872,0.4437577255871446,3129795.22,483.5901143386898
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,,45,0.5777777777777777,26,0.5777777777777777,4409.18,97.98177777777778
0x2c229d22b100a7beb69122eed721cee9b24011dd,Fear,2471,0.5337919870497774,1319,0.5337919870497774,7919556.5600000005,3205.000631323351
0x2c229d22b100a7beb69122eed721cee9b24011dd,Greed,763,0.4744429882044561,362,0.4744429882044561,2244613.0,2941.8256880733943
0x2c229d22b100a7beb69122eed721cee9b24011dd,,5,0.6,3,0.6,2710.64,542.1279999999999
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Extreme Greed,27,0.3333333333333333,9,0.3333333333333333,82312.05,3048.5944444444444
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Fear,349,0.2636103151862464,92,0.2636103151862464,575346.58,1648.5575358166188
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Greed,161,0.453416149068323,73,0.453416149068323,449585.39999999997,2792.455900621118
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,,278,0.7086330935251799,197,0.7086330935251799,302657.97,1088.6977338129495
0x39cef799f8b69da1995852eea189df24eb5cae3c,Fear,3445,0.3193033381712627,1100,0.3193033381712627,16537484.2,4800.430827285922
0x39cef799f8b69da1995852eea189df24eb5cae3c,Greed,144,0.5277777777777778,76,0.5277777777777778,655891.22,4554.800138888889
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Fear,141,0.5602836879432624,79,0.5602836879432624,611688.99,4338.219787234042
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Greed,191,0.41361256544502617,79,0.41361256544502617,532207.47,2786.4265445026176
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Fear,258,0.2441860465116279,63,0.2441860465116279,1177449.09,4563.756162790698
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Greed,125,0.216,27,0.216,810078.52,6480.62816
0x430f09841d65beb3f27765503d0f850b8bce7713,Extreme Greed,88,0.0,0,0.0,99995.52,1136.3127272727272
0x430f09841d65beb3f27765503d0f850b8bce7713,Fear,671,0.4828614008941878,324,0.4828614008941878,1883941.47,2807.6623994038746
0x430f09841d65beb3f27765503d0f850b8bce7713,Greed,43,0.8837209302325582,38,0.8837209302325582,289936.95,6742.71976744186
0x430f09841d65beb3f27765503d0f850b8bce7713,,435,0.5448275862068965,237,0.5448275862068965,692235.28,1591.345471264368
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Fear,4629,0.36552171095268954,1692,0.36552171095268954,2508697.11,541.9522812702527
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Greed,3711,0.3381837779574239,1255,0.3381837779574239,1834112.91,494.23683912691996
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,,179,0.3575418994413408,64,0.3575418994413408,66018.88,368.8205586592179
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Fear,3806,0.4952706253284288,1885,0.4952706253284288,34247716.57,8998.349072517078
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Greed,328,0.4115853658536585,135,0.4115853658536585,2769684.87,8444.161189024391
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,,222,0.44144144144144143,98,0.44144144144144143,2555547.81,11511.476621621621
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Greed,730,0.30684931506849317,224,0.30684931506849317,4540452.9,6219.798493150685
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Fear,3737,0.39175809472839174,1464,0.39175809472839174,76490050.69,20468.303636606903
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Greed,1703,0.3282442748091603,559,0.3282442748091603,33455719.11,19645.16682912507
0x4f93fead39b70a1824f981a54d4e55b278e9f760,,1414,0.3437057991513437,486,0.3437057991513437,15186306.58,10739.962220650637
0x513b8629fe877bb581bf244e326a047b249c4ff1,Fear,5777,0.4156136402977324,2401,0.4156136402977324,163514779.13,28304.44506318158
0x513b8629fe877bb581bf244e326a047b249c4ff1,Greed,223,0.0,0,0.0,727332.09,3261.5788789237668
0x513b8629fe877bb581bf244e326a047b249c4ff1,,6236,0.4021808851828095,2508,0.4021808851828095,256634445.14,41153.69550032072
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Fear,572,0.2692307692307692,154,0.2692307692307692,509692.65,891.0710664335664
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Greed,250,1.0,250,1.0,131367.84,525.47136
0x6d6a4b953f202f8df5bed40692e7fd865318264a,,153,0.1111111111111111,17,0.1111111111111111,86997.02,568.6079738562091
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Fear,932,0.43991416309012876,410,0.43991416309012876,7547409.37,8098.078723175966
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Greed,202,0.5148514851485149,104,0.5148514851485149,3294849.97,16311.138465346536
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,,456,0.07894736842105263,36,0.07894736842105263,632241.58,1386.494692982456
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Fear,939,0.3961661341853035,372,0.3961661341853035,1993872.85,2123.4002662406815
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Greed,419,0.028639618138424822,12,0.028639618138424822,965878.98,2305.200429594272
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,,72,0.75,54,0.75,91392.5,1269.3402777777778
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,3041,0.8240710292666886,2506,0.8240710292666886,11184217.49,3677.8091055573827
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Fear,4885,0.7985670419651996,3901,0.7985670419651996,11383531.66,2330.3033080859777
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Greed,1016,0.8208661417322834,834,0.8208661417322834,2089293.61,2056.391348425197
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,,951,0.8212407991587802,781,0.8212407991587802,1072454.48,1127.7123869610937
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Fear,1554,0.4510939510939511,701,0.4510939510939511,5661783.44,3643.361287001287
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,,5,0.8,4,0.8,182701.01,36540.202000000005
0x8170715b3b381dffb7062c0298972d4727a0a63b,Fear,3056,0.28763089005235604,879,0.28763089005235604,6875178.28,2249.731112565445
0x8170715b3b381dffb7062c0298972d4727a0a63b,Greed,15,0.0,0,0.0,34998.8,2333.2533333333336
0x8170715b3b381dffb7062c0298972d4727a0a63b,,1530,0.5764705882352941,882,0.5764705882352941,3233581.05,2113.4516666666664
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Fear,1802,0.3401775804661487,613,0.3401775804661487,11629308.63,6453.556398446171
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Greed,54,0.037037037037037035,2,0.037037037037037035,50397.380000000005,933.2848148148149
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,,55,0.2909090909090909,16,0.2909090909090909,319467.36,5808.497454545454
0x8477e447846c758f5a675856001ea72298fd9cb5,Fear,5602,0.30739021777936454,1722,0.30739021777936454,3688147.16,658.3625776508391
0x8477e447846c758f5a675856001ea72298fd9cb5,Greed,1804,0.32427937915742794,585,0.32427937915742794,2483772.71,1376.8141407982262
0x8477e447846c758f5a675856001ea72298fd9cb5,,7592,0.2136459430979979,1622,0.2136459430979979,6132866.97,807.8065028977871
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Fear,2080,0.3903846153846154,812,0.3903846153846154,7134710.2,3430.149134615385
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Greed,724,0.07596685082872928,55,0.07596685082872928,2125807.78,2936.1985911602205
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,,248,0.016129032258064516,4,0.016129032258064516,1731837.76,6983.216774193548
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Fear,9274,0.32003450506793185,2968,0.32003450506793185,10738173.13,1157.8793541082598
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Greed,4211,0.418665400142484,1763,0.418665400142484,6889828.6,1636.15022559962
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,,2120,0.3136792452830189,665,0.3136792452830189,2240206.25,1056.7010613207547
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Fear,95,0.8842105263157894,84,0.8842105263157894,77964.33,820.6771578947369
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Greed,283,0.5477031802120141,155,0.5477031802120141,476629.33,1684.2025795053005
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,,39,0.0,0,0.0,307215.74,7877.326666666667
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,Fear,182,0.2692307692307692,49,0.2692307692307692,559278.3,3072.9576923076925
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,Greed,190,0.5526315789473685,105,0.5526315789473685,643594.44,3387.3391578947367
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,,191,0.39790575916230364,76,0.39790575916230364,474552.98,2484.57057591623
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,Fear,525,0.3238095238095238,170,0.3238095238095238,4431556.89,8441.060742857142
